review,rating,date
Awsomeeee,5,2026-04-05T20:48:27-07:00
"Paid for a subscription and it never unlocked any of the features. It did however keep offering me a trial. I started the trial, which also didn’t give me any of the features. Wish I had my money back.",1,2026-04-05T20:25:07-07:00
"I was immediately charged $80 for what was supposed to be a one-month free trial, plus the poorly implemented app wouldn’t allow me to use these premium features. The worst part was fighting with an AI chatbot to create a support ticket with no response.",1,2026-04-05T18:43:31-07:00
The majority of the app has turned into a scheme to get people to sign up for the paid version. There should be separate apps. A solid free version and an outstanding paid version. It’s more frustrating than enticing the way it’s set up currently,1,2026-04-05T12:55:19-07:00
"Love the app but I CANNOT STAND how much it bugs you about subscribing. Like I’m not subscribing, STOP shoving it in my face every time I open the app",3,2026-04-04T15:41:38-07:00
"I connected my heart rate monitor to the app. Went on a run and watched my heart rate in the app on my phone during the run. After the run I have everything I need about the run saved except my heart rate. Never experienced this in another app. I’ve subscribed, read the FAQ articles, toggled all the toggles. I won’t be using this again. 
HR monitor is a Polar Flow Sense. It was connected during the run so it’s not a connectivity issue. Strava appears to be holding the data for more money. Workoutdoors is a much better app. Chat GPT lead me to Strava.",1,2026-04-04T11:20:49-07:00
"freetrailfretrail freetrailfretrail freetrailfretrail
You can’t use this unless you pay them.",1,2026-04-04T07:27:25-07:00
"Every year Strava takes away at least one feature and puts it behind the paywall. It’s ridiculous that I should have to pay a company to view the data I give it for free. My runs and bike rides get to be on their heat maps, but now I cannot view the heat map, or my own data for that matter. Bring the features back from behind the paywall, Strava.",1,2026-04-04T05:51:20-07:00
"I’ve had Strava for years and loved it. It was one of the few apps I happily paid for. Lately, I’ve found it useless. Apple Watch connection with Fitness is buggy, along with blocking workout imports in an attempt to force precise location, background app refresh and share location setting to always. Totally unnecessary. Canceled",1,2026-04-03T23:10:11-07:00
Longtime member of Strava and lately I don’t know what it is but blanks out skips half half of your ride just doesn’t record getting frustrated,5,2026-04-02T17:13:59-07:00
You added it then removed it.,3,2026-04-01T19:06:05-07:00
"The fitness chart and relative effort doesn’t take training volume into consideration at all. I’m more fit than I’ve been in years and doing more volume than I have in years and my fitness score is flat because I’ve been in a base phase. In TrainingPeaks my fitness is steadily growing but in Strava my fitness score is flat. Also, when calculating my total volume stop using “moving time.” The moving time calculation is wildly inaccurate. I did a 4.5 hr nonstop workout in the mountains the other day and I only got credit for 3 hrs. Please fix your fitness algorithm. Please stop using “moving time” for anything. I’ll pause my watch if I want to stop moving and not have the time count.",1,2026-04-01T11:11:16-07:00
"I don’t want AI features on my strava, and I have been noticing my app is really slow and not easy to use.",2,2026-03-31T17:51:49-07:00
"I’ve had this app for over a month was only able to login twice before it kicked me out. Every time I try to login it tells me that I’m an unauthorized user. When I try to find a contact to reach out to somebody for help, there is nothing to be found. I’m paying for the app and I can’t use it and can’t contact anybody to help me get in.",1,2026-03-31T13:29:43-07:00
"Despite turning off email notifications in app, and unsubscribing in email client...they keep sending emails. 

Had to create a throwaway email account and changed my email to that one to stop getting pestered by this company.",1,2026-03-31T11:28:18-07:00
"I generally like this app for tracking my runs, but for some reason when tracking my runs, the position freaks out and is not reflective of the route I ran. It’s very obvious because my route looks like a child went ballistic and scribbled all over the map. It’s getting increasingly frustrating and I can’t tell what distance I actually ran. Honestly planning on a different tracking app at this rate.

Update: The problem still persists and now it decides it wants to log me off and stop tracking mid run…",1,2026-03-31T10:55:08-07:00
I love this app but it would be cool if we can get to add music. Love the app though,5,2026-03-29T17:06:13-07:00
"I love this app, but I do not want Strava premium. Please stop shoveling it down my throat on every screen. It makes me not want to use this app for my runs.",1,2026-03-29T13:25:47-07:00
"Auto pause fails to resume, heart rate sensor doesn’t show as connected with Apple Watch even if it is. Need to work on your bugs folks",2,2026-03-29T10:51:01-07:00
I hate that you can’t use a single feature without a subscription. I’m a college student who wants a fun app to track my runs and hikes but I’m not willing to pay for subscription just for that. I’d rather use the free fitness app on my watch that still does a map than use this,1,2026-03-28T22:02:08-07:00
"I deleted the app because they decided to become abusive of their ability to push notifications and app badges. I didn’t ask for that, I don’t want it, I won’t be back.",1,2026-03-27T18:33:57-07:00
Hope you didn’t plan on connecting your watch cause you’ll be taking your phone everywhere. Stoped tracking after a few workouts.,3,2026-03-27T18:14:13-07:00
Hopefully you’ll never need customer support bc they’re terrible.,1,2026-03-27T16:18:19-07:00
I can’t upload a profile pic on the app or desktop :( on the app it just loads forever. On desktop it crops the photo weird and rotates it 90 degrees for some reason. Pls bug fix,2,2026-03-27T08:31:02-07:00
The only reason I give it 4 stars is because it hates to sync with my Fitbit. Other than that great app!,4,2026-03-27T05:23:32-07:00
"First, it does outdoor walk but not indoor walk. So if I'm walking on a treadmill, it won't register since I haven't moved. Second, it USED TO track my heart rate. I needed that. Now it's gone. If it stopped because I don't have a paid membership, that's extortion.",3,2026-03-26T22:28:32-07:00
"This app tried to update to be pretty but the route maker is now worse than it was.
No longer will use Strava",1,2026-03-26T15:32:33-07:00
"When I download an app I try to look through it to see all the features of it and familiarize myself with its features. Anything that you want to view or look at generates the start your free trial pop up. All you did was piss me off. I deleted it, for free!",1,2026-03-26T15:18:40-07:00
Best tracking app way better than the other slop!,5,2026-03-25T18:20:57-07:00
Can you give options to disable the AI bs? I’m tired of seeing instant workout garbage at the top when I open the app.,1,2026-03-25T17:34:05-07:00
I really really love this app. I used it for a one day and ever since then I can’t use it. I’ve tried everything but I just keep getting a red text that says something went wrong. I even created a new account and tried to login with that one same result. I contacted customer service today and they let me know that they probably won’t be answering my email anytime soon. I haven’t even made it out of the free trial yet and the app is completely unusable. I’m extremely disappointed.,1,2026-03-25T04:37:49-07:00
"Obviously a bad update was pushed. My app instantly freezes when I tap on the tab to record a run. Any other tab works fine. I closed and reopened this app four times, and the same thing happens. I have to literally close the app when I hit record, because nothing else will work, no matter how long I wait.",1,2026-03-24T05:39:07-07:00
Great app my xc team uses it cant add videos,4,2026-03-23T17:07:58-07:00
"On the list of my shoes, the order is always consistent but I can’t figure out what the sort order is. It’s not name, distance, or date added. It makes it hard to find your shoe.",5,2026-03-23T13:56:08-07:00
Had my best run ever and the app crashed while uploading. Couldn’t recover the activity no matter what I did,1,2026-03-22T13:32:49-07:00
App is borderline unusable to me. I can’t access any of the “features” that I see because I don’t have the premium version. I just get a splash screen. It makes the app irritating to use. I’m curious how they believe this will convince people to give them $100.,1,2026-03-22T13:26:33-07:00
"I stopped paying for premium and wow, the free version is giving desperate vibes. Every page, every tab, there’s an option to “upgrade” let’s not forget the pop-ups that tell us how much greater it would be if we paid for it. But something simple as a five second video never plays properly. My GPS always trips out and shows incorrect data. I don’t see a point in paying for something that is not getting better and from reading the comments, their customer service is trash also. Used to be better before they implemented the UI change. Hate the layout and it doesn’t work right.",2,2026-03-21T13:13:32-07:00
Before the recent update this app was great. For some reason it stops tracking mid activity or doesn’t record at all from the start. I used to love this app hopefully these issues get fixed.,3,2026-03-21T11:41:37-07:00
I tired to use this app as a preview before subscribing. I had to click at least through 10 pop ups asking me to subscribe. I gave up before even getting to try out the app.,2,2026-03-21T10:00:57-07:00
"There support is glacially slow. 7 days to respond to account requests. I pay for a subscription and they dont even respond. No phone support. Good luck if your account gets messed up, you could lose all your activity data",1,2026-03-21T09:42:23-07:00
"The app sure looks nice when it works. Multiple occasions of workouts never syncing to Apple health despite correct permissions. Then today the app apparently froze halfway through a run and then force restarted near the end, messed the pace and GPS data all up. I’ll stick to Apple workouts. May not look fancy but at least I know they’ll work.",2,2026-03-20T19:44:29-07:00
I’m just starting with this app I’ll let you know,5,2026-03-20T11:19:37-07:00
Had to take an injury break from Strava. Resubscribed from App Store but app still gives me sign up for free trial page instead of app features. Their customer service won’t respond and Apple says it’s Strava problem. But of course processed my payment.,1,2026-03-19T08:11:03-07:00
"I recently began to use this app more and thought to purchase a membership. When I did, none of the benefits arrived and it claimed that I was still on a basic account despite the charge going through. I was told to use the restore purchases feature which prompted me to contact support. I was met with an ai chatbot that did very little to help and kept claiming that my subscription was on another account when I have clearly never logged into any other Strava account on my phone and bought the never ship on the account that I used. After the ai opened up a ticket for me I was met with no response and haven’t been able to hear back from a human on this issue. The app itself is good and I find it useful but the poor customer service leads me to write a bad review.",2,2026-03-18T17:43:07-07:00
"decent but they keep working toward bloat and premium is not at all worth it. Athlete Intelligence is the dumbest, most useless feature. the app is getting filled with bloat making it harder to see what you want to.",3,2026-03-18T15:43:40-07:00
But still display the tracking icon until you close the app and re open. P.O.S.,1,2026-03-18T13:59:37-07:00
Excelente app para seguimientos de actividades deportivas recientemente han incluido nueva disciplinas como pádel baile y otras sugiero incluir Spinning o Indoor cycling .,5,2026-03-18T10:47:44-07:00
"Several times over the past month this app has failed to track my long runs correctly. Most recently I ran the NYC half marathon, about 9 miles in it stopped working! That will be the last time I use this app.",1,2026-03-18T01:16:19-07:00
"This is a great app to keep as my primary data hub for all my cardio workouts. I would like to see some more widgets, though. The weekly option is fine, but I would like to see my cumulative monthly average compared to the previous month at a glance on my widget home screen. I read my cardio work in conversation with my strength training. Seeing monthly averages keeps me motivated a bit more than weekly. It would be nice to do this without opening the app.",4,2026-03-17T17:03:29-07:00
Love the app in general and like that I can trace back my steps and see my progress. Not thrilled about the latest app update though - too much animation resulting in wait time to see my results. All these seconds add up over time and creates screen fatigue. :/,4,2026-03-15T17:39:20-07:00
Good app to track mountain bike rides and running. I haven't had any problems with the app yet!,5,2026-03-15T17:14:08-07:00
"Great App, however they need to fix their app. I've turned off all marketing and extraneous notifications, and yet they still send me spam. That is completely unacceptable. Hopefully they can fix this issue",3,2026-03-15T05:21:31-07:00
I yous this for running hiking and walks and wait lifting,5,2026-03-14T19:48:45-07:00
yuh,5,2026-03-13T17:12:31-07:00
"Nothings free.
Too expensive",4,2026-03-12T17:11:18-07:00
"The maps and route drawing has glitches nearly everytime I use it. The newest issue is not being able to save and rename routes that others share with you. The general organization of training stats and other personal data is all over the place on your ""progress page"" or on your profile. Maps are unable to be used offline despite saving for offline use.",3,2026-03-12T15:44:14-07:00
"Unfortunately there is no way to change which stats you see while running. The app only tells you your split pace (the pace for the current mile or kilometer you are on), with no way to see your total average pace for the activity. There is also no way to hide the clock, something I like doing on my easier runs. I reached out to support about possibly getting these features implemented, with no response. I like strava for its social features but until they fix these issues I will be using Mapmyrun instead.",2,2026-03-12T14:21:06-07:00
"I used to love this app, then they decided to take away average speed which is EXTREMELY useful and replace it with a lagging speedometer. Useless because it is wrong, useless because it tells me what speed I was going 15 seconds ago and useless because it tells me nothing about my on going ride! If you are halfway serious with your biking, look for another app. It was a good run but time to find an app that gives people what they want, this is the biggest complaint and they persist in pushing useless features instead of what a person needs.

Now the latest version the speed updates every few minutes and shows what you speed was at some moment a couple of minutes ago. Elevation does not work. Always show zero even though I am not at zero. I have an idea, fire the current programmers and roll back to the version from about 2 years ago when this app worked. Just has a lot of features now that do not work. Don’t waste your money on this. They don’t fix anything.",1,2026-03-11T19:17:06-07:00
"Finally decided to download this app since it what everyone uses 
.
Coming from the Nike app I must say it’s quite disappointing. You’re forced to pay for features the Nike Run Club app gives for free …",3,2026-03-11T19:06:37-07:00
I love this app! It keeps me motivated to stay active and makes tracking my workouts so easy. Seeing progress and connecting with others really pushes me to keep going.,5,2026-03-10T17:14:07-07:00
A shell of what the app used to be. The free version has been so throttled it’s barely useable.,1,2026-03-10T09:12:26-07:00
I like strava😁,5,2026-03-10T07:35:01-07:00
This app blows massive sausage. You don’t need an app to go touch grass. Here’s an idea how about you get off your phone for 30 minutes of your life and do something that doesn’t involve electronics at your hip. Not to mention trying to cancel this POS app is the most complicated thing ever. They don’t let you cancel the free trial through the app because they want to steal your money so bad. So they make you log in navigate to 4000 different pages and in the smallest font of all the other options there it. Unsubscribe. Their only hope of making money is by offering free trials and hoping people can’t figure it out or forget so they can rob them. Paying for this app will have no positive impact on your life whatsoever. Useless,1,2026-03-09T22:16:24-07:00
